emoji,hexcode,hfg-priority,hfg-tags
🏴󠁧󠁢󠁥󠁮󠁧󠁿,1F3F4-E0067-E0062-E0065-E006E-E0067-E007F,3,
🏴󠁧󠁢󠁳󠁣󠁴󠁿,1F3F4-E0067-E0062-E0073-E0063-E0074-E007F,3,
🏴󠁧󠁢󠁷󠁬󠁳󠁿,1F3F4-E0067-E0062-E0077-E006C-E0073-E007F,3,
🏵️,1F3F5,4,
🏷️,1F3F7,3,
🏸,1F3F8,4,
🏹,1F3F9,4,
🏺,1F3FA,4,
🐀,1F400,3,
🐁,1F401,2,
🐂,1F402,3,
🐃,1F403,3,
🐄,1F404,3,
🐅,1F405,3,
🐆,1F406,3,
🐇,1F407,3,
🐈️,1F408,2,
🐉,1F409,3,
🐊,1F40A,3,
🐋,1F40B,3,
🐌,1F40C,2,
🐍,1F40D,2,
🐎,1F40E,2,
🐏,1F40F,3,
🐐,1F410,3,
🐑,1F411,3,
🐒,1F412,2,
🐓,1F413,2,
🐔,1F414,3,
🐕️,1F415,2,
🐖,1F416,2,
🐗,1F417,3,
🐘,1F418,2,
🐙,1F419,3,
🐚,1F41A,3,
🐛,1F41B,3,
🐜,1F41C,3,
🐝,1F41D,2,
🐞,1F41E,3,
🐟️,1F41F,2,
🐠,1F420,3,
🐡,1F421,3,
🐢,1F422,2,
🐣,1F423,3,
🐤,1F424,3,
🐥,1F425,3,
🐦️,1F426,3,
🐧,1F427,3,
🐨,1F428,3,
🐩,1F429,4,
🐪,1F42A,3,
🐫,1F42B,3,
🐬,1F42C,2,
🐭,1F42D,2,
🐮,1F42E,2,
🐯,1F42F,3,
🐰,1F430,3,
🐱,1F431,3,
🐲,1F432,3,
🐳,1F433,3,
🐴,1F434,3,
🐵,1F435,3,
🐶,1F436,3,
🐷,1F437,3,
🐸,1F438,3,
🐹,1F439,3,
🐺,1F43A,3,
🐻,1F43B,3,
🐼,1F43C,3,
🐽,1F43D,3,
🐾,1F43E,3,
🐿️,1F43F,3,
👀,1F440,2,
👁️,1F441,2,
👁️‍🗨️,1F441-FE0F-200D-1F5E8-FE0F,3,
👂️,1F442,2,
