emoji,hexcode,hfg_tags,hfg_author
🍳,1F373,,Miriam Vollmeier
🌮,1F32E,,Miriam Vollmeier
🍲,1F372,,Miriam Vollmeier
🍿,1F37F,,Miriam Vollmeier
🥐,1F950,,Miriam Vollmeier
🥓,1F953,,Miriam Vollmeier
🥖,1F956,,Miriam Vollmeier
🥚,1F95A,,Miriam Vollmeier
🥣,1F963,,Miriam Vollmeier
🥨,1F968,,Miriam Vollmeier
🥩,1F969,,Miriam Vollmeier
🥪,1F96A,,Miriam Vollmeier
🧀,1F9C0,,Miriam Vollmeier
🍦,1F366,,Miriam Vollmeier
🍩,1F369,,Miriam Vollmeier
🍪,1F36A,,Miriam Vollmeier
🍫,1F36B,,Miriam Vollmeier
🍬,1F36C,,Miriam Vollmeier
🍭,1F36D,,Miriam Vollmeier
🍰,1F370,,Miriam Vollmeier
🎂,1F382,,Miriam Vollmeier
🍧,1F367,,Miriam Vollmeier
🍨,1F368,,Miriam Vollmeier
🍮,1F36E,,Miriam Vollmeier
🍯,1F36F,,Miriam Vollmeier
🥧,1F967,,Miriam Vollmeier
🍆,1F346,purple,Marius Schnabel
🌶️,1F336,red,Marius Schnabel
🌽,1F33D,yellow,Marius Schnabel
🍄,1F344,mushroom,Marius Schnabel
🥑,1F951,avocado,Marius Schnabel
🥒,1F952,,Marius Schnabel
🥔,1F954,,Marius Schnabel
🥕,1F955,,Marius Schnabel
🥜,1F95C,,Marius Schnabel
🥦,1F966,,Marius Schnabel
🎮️,1F3AE,gamble,Lisa Schulz
🎲,1F3B2,board game,Lisa Schulz
🕹️,1F579,,Lisa Schulz
🔘,1F518,,Lisa Schulz
🔺,1F53A,arrow,Lisa Schulz
🔻,1F53B,arrow,Lisa Schulz
🚽,1F6BD,,Lisa Schulz
🛏️,1F6CF,furniture,Lisa Schulz
🚪,1F6AA,,Lisa Schulz
🚿,1F6BF,wash,Lisa Schulz
🛁,1F6C1,"wash, water, foam",Lisa Schulz
🛋️,1F6CB,furniture,Lisa Schulz
💡,1F4A1,"shine, light, bulb, power, on, electric, idea",Sina Schulz
📹️,1F4F9,"record, recording, film, movie",Sina Schulz
📺️,1F4FA,"flat screen, tv, modern",Sina Schulz
🔍️,1F50D,"detail, big, zoom, detective",Sina Schulz
🔦,1F526,"bright, shine, light, flashlight, gadget",Sina Schulz
🎞️,1F39E,"clip, film",Sina Schulz
🎥,1F3A5,"film, record",Sina Schulz
🎬️,1F3AC,"cut, new recording",Sina Schulz
📷️,1F4F7,"camera, digital",Sina Schulz
📼,1F4FC,"movie, film, vhs, cassette, record, recording",Sina Schulz
📽️,1F4FD,"play, film clip, movie",Sina Schulz
